stop,,Kashi,Padao,Dulhipur,Mughal Sarai,Panch Pedva,Ganj Khwaja,Jhansi Pokhra,Jagadish Sarai,Chaundauli,Leelapur,Saiyadraja,,,,,
distance,,0,0,4,9,13,17,20,23,25,29,34,,,,,
fare,,,,10.00,15.00,18.00,22.00,22.00,24.00,24.00,27.00,30.00,,,,,
,arr,,,6:53,7:04,7:22,7:31,7:38,7:45,7:50,8:03,8:15,,,,,
,dep,,6:45,6:54,7:14,7:23,7:32,7:39,7:46,7:55,8:04,,,,,,
,arr,,,7:08,7:19,7:37,7:46,7:53,8:00,8:05,8:18,8:30,,,,,
,dep,,7:00,7:09,7:29,7:38,7:47,7:54,8:01,8:10,8:19,,,,,,
,arr,,,7:23,7:34,7:52,8:01,8:08,8:15,8:20,8:33,8:45,,,,,
,dep,,7:15,7:24,7:44,7:53,8:02,8:09,8:16,8:25,8:34,,,,,,
,arr,,,7:38,7:49,8:07,8:16,8:23,8:30,8:35,8:48,9:00,,,,,
,dep,,7:30,7:39,7:59,8:08,8:17,8:24,8:31,8:40,8:49,,,,,,
,arr,,,7:53,8:04,8:22,8:31,8:38,8:45,8:50,9:03,9:15,,,,,
,dep,,7:45,7:54,8:14,8:23,8:32,8:39,8:46,8:55,9:04,,,,,,
,arr,,,8:08,8:19,8:37,8:46,8:53,9:00,9:05,9:18,9:30,,,,,
,dep,,8:00,8:09,8:29,8:38,8:47,8:54,9:01,9:10,9:19,,,,,,
,arr,,,8:23,8:34,8:52,9:01,9:08,9:15,9:20,9:33,9:45,,,,,
,dep,,8:15,8:24,8:44,8:53,9:02,9:09,9:16,9:25,9:34,,,,,,
,arr,,,8:38,8:49,9:07,9:16,9:23,9:30,9:35,9:48,10:00,,,,,
,dep,,8:30,8:39,8:59,9:08,9:17,9:24,9:31,9:40,9:49,,,,,,
,arr,,,8:53,9:04,9:22,9:31,9:38,9:45,9:50,10:03,10:15,,,,,
,dep,,8:45,8:54,9:14,9:23,9:32,9:39,9:46,9:55,10:04,,,,,,
,arr,,,9:08,9:19,9:37,9:46,9:53,10:00,10:05,10:18,10:30,,,,,
,dep,,9:00,9:09,9:29,9:38,9:47,9:54,10:01,10:10,10:19,,,,,,
,arr,,,10:53,11:04,11:22,11:31,11:38,11:45,11:50,12:03,12:15,,,,,
,dep,,10:45,10:54,11:14,11:23,11:32,11:39,11:46,11:55,12:04,,,,,,
,arr,,,11:08,11:19,11:37,11:46,11:53,12:00,12:05,12:18,12:30,,,,,
,dep,,11:00,11:09,11:29,11:38,11:47,11:54,12:01,12:10,12:19,,,,,,
,arr,,,11:23,11:34,11:52,12:01,12:08,12:15,12:20,12:33,12:45,,,,,
,dep,,11:15,11:24,11:44,11:53,12:02,12:09,12:16,12:25,12:34,,,,,,
,arr,,,11:38,11:49,12:07,12:16,12:23,12:30,12:35,12:48,13:00,,,,,
,dep,,11:30,11:39,11:59,12:08,12:17,12:24,12:31,12:40,12:49,,,,,,
,arr,,,11:53,12:04,12:22,12:31,12:38,12:45,12:50,13:03,13:15,,,,,
,dep,,11:45,11:54,12:14,12:23,12:32,12:39,12:46,12:55,13:04,,,,,,
,arr,,,12:08,12:19,12:37,12:46,12:53,13:00,13:05,13:18,13:30,,,,,
,dep,,12:00,12:09,12:29,12:38,12:47,12:54,13:01,13:10,13:19,,,,,,
,arr,,,12:23,12:34,12:52,13:01,13:08,13:15,13:20,13:33,13:45,,,,,
,dep,,12:15,12:24,12:44,12:53,13:02,13:09,13:16,13:25,13:34,,,,,,
,arr,,,12:38,12:49,13:07,13:16,13:23,13:30,13:45,13:48,14:00,,,,,
,dep,,12:30,12:39,12:59,13:08,13:17,13:24,13:31,13:50,13:49,,,,,,
,arr,,,12:53,13:04,13:22,13:31,13:38,13:45,13:50,14:03,14:15,,,,,
,dep,,12:45,12:54,13:14,13:23,13:32,13:39,13:46,13:55,14:04,,,,,,
,arr,,,13:08,13:19,13:37,13:46,13:53,14:00,14:05,14:18,14:30,,,,,
,dep,,13:00,13:09,13:29,13:38,13:47,13:54,14:01,14:10,14:19,,,,,,
,arr,,,14:53,15:04,15:22,15:31,15:38,15:45,15:50,16:03,16:15,,,,,
,dep,,14:45,14:54,15:14,15:23,15:32,15:39,15:46,15:55,16:04,,,,,,
,arr,,,15:23,15:34,15:52,16:01,16:08,16:15,16:20,16:33,16:45,,,,,
,dep,,15:15,15:24,15:44,15:53,16:02,16:09,16:16,16:25,16:34,,,,,,
,arr,,,15:53,16:04,16:22,16:31,16:38,16:45,16:50,17:03,17:15,,,,,
,dep,,15:45,15:34,16:14,16:23,16:32,16:39,16:46,16:55,17:04,,,,,,
,arr,,,16:08,16:19,16:37,16:46,16:53,17:00,17:05,17:18,17:30,,,,,
,dep,,16:00,16:09,16:29,16:38,16:47,16:54,17:01,17:10,17:19,,,,,,
,arr,,,16:23,16:34,16:52,17:01,17:08,17:15,17:20,17:33,17:45,,,,,
,dep,,16:15,16:24,16:44,16:53,17:02,17:09,17:16,17:25,17:34,,,,,,
,arr,,,18:53,19:04,19:22,19:31,19:38,19:45,19:50,20:03,20:15,,,,,
,dep,,18:45,18:54,19:14,19:23,19:32,19:39,19:46,19:55,20:04,,,,,,
,arr,,,19:23,19:34,19:52,20:01,20:08,20:15,20:20,20:33,20:45,,,,,
,dep,,19:15,19:24,19:44,19:53,20:02,20:09,20:16,20:25,20:34,,,,,,
,arr,,,19:38,19:49,20:07,20:16,20:23,20:30,20:35,20:48,21:00,,,,,
,dep,,19:30,19:39,19:59,20:08,20:17,20:24,20:31,20:40,20:49,,,,,,
,arr,,,19:53,20:04,20:22,20:31,20:38,20:45,20:50,21:03,21:15,,,,,
,dep,,19:45,19:54,20:14,20:23,20:32,20:39,20:46,20:55,21:04,,,,,,
,arr,,,20:23,20:34,20:52,21:01,21:08,21:15,21:20,21:33,21:45,,,,,
,dep,,20:15,20:24,20:44,20:53,21:02,21:09,21:16,21:25,21:34,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
